Adresse,Postnummer,Poststed,Lat,Lon
134/1-2,6008,ÅLESUND,62.47244494884965,6.20743052222797
134/212,6008,ÅLESUND,62.471510869562884,6.206298548392801
134/58,6008,ÅLESUND,62.47167564579528,6.199819211448937
134/58-1,6008,ÅLESUND,62.47167253766378,6.200008905163051
134/58-2,6008,ÅLESUND,62.471674201606454,6.200096270255351
Borgundvegen 150,6008,ÅLESUND,62.471224475233925,6.195929503353357
Borgundvegen 151,6008,ÅLESUND,62.47161712902906,6.196102420102753
Borgundvegen 152A,6008,ÅLESUND,62.47117983440776,6.196684693074247
Borgundvegen 152B,6008,ÅLESUND,62.471175768757554,6.196978488600829
Borgundvegen 155,6008,ÅLESUND,62.47144471213467,6.196724659535458
Borgundvegen 156,6008,ÅLESUND,62.47108742385831,6.1974587206066865
Borgundvegen 157A,6008,ÅLESUND,62.47147996719162,6.197200677698942
Borgundvegen 157B,6008,ÅLESUND,62.47169589169502,6.19734343518946
Borgundvegen 161A,6008,ÅLESUND,62.47171569708,6.197824011720694
Borgundvegen 161B,6008,ÅLESUND,62.47151159219745,6.1981130879567825
Borgundvegen 161C,6008,ÅLESUND,62.47151400840892,6.198233372052554
Borgundvegen 161D,6008,ÅLESUND,62.47151440903115,6.198360637203907
Borgundvegen 162A,6008,ÅLESUND,62.471148204214785,6.1982486526094815
Borgundvegen 162B,6008,ÅLESUND,62.47116979544077,6.1991045530655775
Borgundvegen 163,6008,ÅLESUND,62.471476803926535,6.198898794802549
Borgundvegen 165,6008,ÅLESUND,62.47159018758905,6.199235726656319
Borgundvegen 166A,6008,ÅLESUND,62.471147570539806,6.200386632883158
Borgundvegen 166B,6008,ÅLESUND,62.47100735846942,6.200377646721854
Borgundvegen 166C,6008,ÅLESUND,62.47085846145162,6.200387909506476
Borgundvegen 168A,6008,ÅLESUND,62.47115485550602,6.201031576179518
Borgundvegen 168B,6008,ÅLESUND,62.47102613101382,6.20102655645523
Borgundvegen 168C,6008,ÅLESUND,62.47088407022519,6.201037339998814
Borgundvegen 169,6008,ÅLESUND,62.47150284793442,6.199806683465084
Borgundvegen 170A,6008,ÅLESUND,62.47115199000118,6.201569186689616
Borgundvegen 170B,6008,ÅLESUND,62.47101434245972,6.2015760614417115
Borgundvegen 171A,6008,ÅLESUND,62.47148061694895,6.200068417176022
Borgundvegen 171B,6008,ÅLESUND,62.4716731510661,6.199900756326654
Borgundvegen 173,6008,ÅLESUND,62.47157219158116,6.200576422145948
Borgundvegen 175,6008,ÅLESUND,62.471509798790336,6.201048008321096
Borgundvegen 177,6008,ÅLESUND,62.47153511383602,6.201414348971423
Borgundvegen 185,6008,ÅLESUND,62.47155609617268,6.202460302139358
Borgundvegen 199,6008,ÅLESUND,62.47186956365134,6.203902324212009
Borgundvegen 200,6008,ÅLESUND,62.47138601263859,6.204280961970926
Borgundvegen 202,6008,ÅLESUND,62.47144834487602,6.204702057818294
Borgundvegen 204,6008,ÅLESUND,62.471547313228584,6.20515854042454
Borgundvegen 205,6008,ÅLESUND,62.47188023112839,6.204739280641567
Borgundvegen 207,6008,ÅLESUND,62.47216475351577,6.205042571000675
Borgundvegen 208,6008,ÅLESUND,62.471727355755924,6.2056268502203515
Borgundvegen 209A,6008,ÅLESUND,62.47222502013505,6.205696941989602
Borgundvegen 209B,6008,ÅLESUND,62.47268896993581,6.205653360977452
Borgundvegen 210,6008,ÅLESUND,62.471832570432326,6.2059469136451035
Borgundvegen 211A,6008,ÅLESUND,62.472295620177796,6.206194710508255
Borgundvegen 211B,6008,ÅLESUND,62.47268028519404,6.205955169333417
Borgundvegen 212,6008,ÅLESUND,62.471896837398624,6.206464868381412
Borgundvegen 213A,6008,ÅLESUND,62.47232053385892,6.206541695392798
Borgundvegen 213B,6008,ÅLESUND,62.47257757965387,6.206607905037448
Borgundvegen 213C,6008,ÅLESUND,62.47278233662528,6.206494058604744
Borgundvegen 213D,6008,ÅLESUND,62.47257082799883,6.206409813558671
Borgundvegen 214A,6008,ÅLESUND,62.471966468005384,6.20692332928462
Borgundvegen 214B,6008,ÅLESUND,62.47155257710263,6.207215068356945
Borgundvegen 215A,6008,ÅLESUND,62.47224295912127,6.207041091213388
Borgundvegen 215B,6008,ÅLESUND,62.47245652105904,6.207052955999166
Borgundvegen 215C,6008,ÅLESUND,62.472822158965556,6.2069217458996615
Borgundvegen 216,6008,ÅLESUND,62.4719575209413,6.207701185991135
Borgundvegen 217,6008,ÅLESUND,62.4724814326193,6.207399943517703
Borgundvegen 217B,6008,ÅLESUND,62.47234637067003,6.207728889745419
Borgundvegen 217C,6008,ÅLESUND,62.47233477916091,6.207495350214043
Borgundvegen 219A,6008,ÅLESUND,62.47260418613914,6.207698975421982
Borgundvegen 219B,6008,ÅLESUND,62.472921120192325,6.2073782569062965
Borgundvegen 219C,6008,ÅLESUND,62.472828318728276,6.207678030227645
Borgundvegen 220,6008,ÅLESUND,62.4720128161178,6.208219984446418
Borgundvegen 221,6008,ÅLESUND,62.47250396952762,6.208077063164847
Borgundvegen 222,6008,ÅLESUND,62.47204630242055,6.208546760412221
Borgundvegen 223A,6008,ÅLESUND,62.47245948200779,6.208546973992346
Borgundvegen 223C,6008,ÅLESUND,62.47308904072023,6.208138836138897
Borgundvegen 225A,6008,ÅLESUND,62.472515936807554,6.209123893529382
Borgundvegen 225B,6008,ÅLESUND,62.47303321193321,6.208939731002552
Borgundvegen 230,6008,ÅLESUND,62.472160262536725,6.210651391702143
Borgundvegen 232,6008,ÅLESUND,62.47221735868209,6.21093288607596
Borgundvegen 233,6008,ÅLESUND,62.472531327062676,6.210791410901619
Borgundvegen 234,6008,ÅLESUND,62.47222783162236,6.211330900902422
Borgundvegen 236,6008,ÅLESUND,62.47221152946149,6.211867840156498
Borgundvegen 238,6008,ÅLESUND,62.47227973056369,6.212332078434928
Borgundvegen 240,6008,ÅLESUND,62.472241635790056,6.212974291681333
Borgundvegen 242,6008,ÅLESUND,62.472268433504965,6.2140954139332845
Borgundvegen 245A,6008,ÅLESUND,62.47303921253169,6.2137326423145955
Borgundvegen 245B,6008,ÅLESUND,62.47275696426005,6.213991840050944
Borgundvegen 284,6008,ÅLESUND,62.471921780971535,6.221230710896069
Borgundvegen 286,6008,ÅLESUND,62.471869204088144,6.221720553944358
Borgundvegen 287A,6008,ÅLESUND,62.472540172491556,6.222938986680925
Borgundvegen 287B,6008,ÅLESUND,62.472635225561646,6.223201842129494
Borgundvegen 287C,6008,ÅLESUND,62.47272169829801,6.223484902952371
Borgundvegen 287D,6008,ÅLESUND,62.47279920504216,6.223768798411318
Borgundvegen 288,6008,ÅLESUND,62.47203980589163,6.222335581574847
Borgundvegen 289A,6008,ÅLESUND,62.472968292956246,6.224141220193687
Borgundvegen 289B,6008,ÅLESUND,62.47316429540474,6.22443749903796
Borgundvegen 289C,6008,ÅLESUND,62.473200211643615,6.224185198969456
Borgundvegen 289D,6008,ÅLESUND,62.47323355179114,6.22394101170696
Borgundvegen 289E,6008,ÅLESUND,62.472907462346335,6.224243904123498
Borgundvegen 289F,6008,ÅLESUND,62.47294711513472,6.2243609358516245
Borgundvegen 289G,6008,ÅLESUND,62.47299401512991,6.224467826912519
Borgundvegen 289H,6008,ÅLESUND,62.473052520637246,6.22452043478904
Borgundvegen 289I,6008,ÅLESUND,62.473117962188276,6.224546601929354
Borgundvegen 290,6008,ÅLESUND,62.472116483823065,6.222861926518948
Borgundvegen 295A,6008,ÅLESUND,62.473402087460364,6.225841522894775
Borgundvegen 295B,6008,ÅLESUND,62.47336213629495,6.226045704787434
Borgundvegen 296,6008,ÅLESUND,62.472793021662675,6.22526367220151
Borgundvegen 297,6008,ÅLESUND,62.47375613782579,6.227173163498697
Borgundvegen 300,6008,ÅLESUND,62.47280969315242,6.225650253789735
Borgundvegen 302,6008,ÅLESUND,62.47278934612424,6.225982052958542
Borgundvegen 304,6008,ÅLESUND,62.47276899830451,6.226313851695119
Borgundvegen 308,6008,ÅLESUND,62.47274700136895,6.2270145252065445
Borgundvegen 310,6008,ÅLESUND,62.472726651087555,6.227346322831221
Borgundvegen 312,6008,ÅLESUND,62.472705915019276,6.227658749345465
Borgundvegen 312A,6008,ÅLESUND,62.47263061559121,6.22793742451968
Byfogd Rønnebergs veg 10,6008,ÅLESUND,62.47218039236658,6.204478326282703
Byfogd Rønnebergs veg 11A,6008,ÅLESUND,62.47231105765906,6.203746707855358
Byfogd Rønnebergs veg 11B,6008,ÅLESUND,62.47223841195464,6.203698392110079
Byfogd Rønnebergs veg 12,6008,ÅLESUND,62.47235616741412,6.204733570893541
Byfogd Rønnebergs veg 13,6008,ÅLESUND,62.47244313895336,6.2041432414857764
Byfogd Rønnebergs veg 14,6008,ÅLESUND,62.472562331027916,6.2051606345688635
Byfogd Rønnebergs veg 15A,6008,ÅLESUND,62.472632173812336,6.204320589832393
Byfogd Rønnebergs veg 15B,6008,ÅLESUND,62.47261136451271,6.2042996370651124
Byfogd Rønnebergs veg 15C,6008,ÅLESUND,62.4725761051656,6.204333016165702
Byfogd Rønnebergs veg 15D,6008,ÅLESUND,62.4725840653931,6.204564373586462
Byfogd Rønnebergs veg 17,6008,ÅLESUND,62.47275219249189,6.204774149705674
Byfogd Rønnebergs veg 19,6008,ÅLESUND,62.4729474501172,6.205105205490763
Byfogd Rønnebergs veg 21,6008,ÅLESUND,62.473018357199756,6.205506116053359
Byfogd Rønnebergs veg 8,6008,ÅLESUND,62.47202057014192,6.204570903121969
Bøgata 10A,6008,ÅLESUND,62.472900602976345,6.217588081640681
Bøgata 10B,6008,ÅLESUND,62.47293136293062,6.217779283688579
Bøgata 11,6008,ÅLESUND,62.47345977380508,6.218603394944603
Bøgata 12A,6008,ÅLESUND,62.47296482695269,6.218106080943867
Bøgata 12B,6008,ÅLESUND,62.47297726913608,6.218279582525046
Bøgata 13A,6008,ÅLESUND,62.473753309501504,6.218333286613654
Bøgata 13B,6008,ÅLESUND,62.473746053295635,6.217645201866143
Bøgata 14,6008,ÅLESUND,62.47297525669825,6.2186290897500465
Bøgata 15A,6008,ÅLESUND,62.473324303756975,6.21926458338732
Bøgata 15B,6008,ÅLESUND,62.473569979562214,6.219175347427128
Bøgata 16,6008,ÅLESUND,62.4730145115158,6.219246449518343
Bøgata 17,6008,ÅLESUND,62.473570281639596,6.219641088207987
Bøgata 18,6008,ÅLESUND,62.47304132339106,6.219690308242296
Bøgata 19A,6008,ÅLESUND,62.47359747835348,6.220104326689911
Bøgata 19B,6008,ÅLESUND,62.473338913640234,6.220182333752904
Bøgata 19C,6008,ÅLESUND,62.47335149869553,6.220349614697785
Bøgata 20,6008,ÅLESUND,62.47308876688512,6.220268095237136
Bøgata 21,6008,ÅLESUND,62.47341297763131,6.2207619205623805
Bøgata 22A,6008,ÅLESUND,62.47303768326412,6.220652442215581
Bøgata 22B,6008,ÅLESUND,62.47304202690431,6.220744219923445
Bøgata 22C,6008,ÅLESUND,62.473050641566395,6.2209196313531
Bøgata 22D,6008,ÅLESUND,62.47304248791929,6.221012775146521
Bøgata 23,6008,ÅLESUND,62.47368193969031,6.220736902916511
Bøgata 24,6008,ÅLESUND,62.47315366351062,6.221271209098443
Bøgata 25,6008,ÅLESUND,62.47353956186053,6.221254728387861
Bøgata 26,6008,ÅLESUND,62.47324284100782,6.221689865589458
Bøgata 27,6008,ÅLESUND,62.47354882240391,6.221719635260252
Bøgata 28,6008,ÅLESUND,62.47332575216504,6.222244955030248
Bøgata 29,6008,ÅLESUND,62.4735951003185,6.222239321981133
Bøgata 30,6008,ÅLESUND,62.47336074857409,6.222649245924962
Bøgata 31,6008,ÅLESUND,62.473690445714844,6.222967927331164
Bøgata 33,6008,ÅLESUND,62.47376014494618,6.22331077760619
Bøgata 34A,6008,ÅLESUND,62.473525790025725,6.223720695524297
Bøgata 34B,6008,ÅLESUND,62.47360406733504,6.224043341591714
Bøgata 35,6008,ÅLESUND,62.47398090122912,6.224474105415364
Bøgata 36,6008,ÅLESUND,62.47367453483576,6.224424935958908
Bøgata 37,6008,ÅLESUND,62.473960557075394,6.224805918336731
Bøgata 39,6008,ÅLESUND,62.47400297017311,6.22513190247381
Bøgata 4,6008,ÅLESUND,62.47286721428938,6.216814926701395
Bøgata 42,6008,ÅLESUND,62.47366151294559,6.22512479925354
Bøgata 44A,6008,ÅLESUND,62.47370790082936,6.225953248563741
Bøgata 44B,6008,ÅLESUND,62.4736855043697,6.226294951242907
Bøgata 5,6008,ÅLESUND,62.47319195295023,6.216546751060279
Bøgata 7A,6008,ÅLESUND,62.47340194211842,6.216546208182413
Bøgata 7B,6008,ÅLESUND,62.47365701500075,6.216333809200615
Bøgata 7C,6008,ÅLESUND,62.47357385659336,6.2171178391384645
Bøgata 7D,6008,ÅLESUND,62.47357617531927,6.2172340655514695
Bøgata 7E,6008,ÅLESUND,62.47362927092351,6.2167439431022435
Bøgata 8,6008,ÅLESUND,62.47288468205864,6.217240245185968
Bøgata 9A,6008,ÅLESUND,62.47349185390819,6.217667320216261
Bøgata 9B,6008,ÅLESUND,62.4733967105973,6.218143498880055
Fagerlibakken 1,6008,ÅLESUND,62.47375339163227,6.222069349175623
Fagerlibakken 10A,6008,ÅLESUND,62.47510428184984,6.222700659871455
Fagerlibakken 10B,6008,ÅLESUND,62.47515142303735,6.222812725991639
Fagerlibakken 11,6008,ÅLESUND,62.474906071513146,6.221768098588435
Fagerlibakken 12,6008,ÅLESUND,62.47531598042197,6.222506307725903
Fagerlibakken 2,6008,ÅLESUND,62.47399170343844,6.2232116294690805
Fagerlibakken 3,6008,ÅLESUND,62.47385230363199,6.222525925724662
Fagerlibakken 4A,6008,ÅLESUND,62.47413669261843,6.223275784338425
Fagerlibakken 4B,6008,ÅLESUND,62.47417293990893,6.223291823150364
Fagerlibakken 5A,6008,ÅLESUND,62.4740354689537,6.222702972167524
Fagerlibakken 5B,6008,ÅLESUND,62.47402341794101,6.222548833921758
Fagerlibakken 6,6008,ÅLESUND,62.47434212605093,6.223217877603073
Fagerlibakken 9,6008,ÅLESUND,62.474231618702625,6.22037525334077
Fagerlivegen 1,6008,ÅLESUND,62.47271003963166,6.2204506227638685
Fagerlivegen 11A,6008,ÅLESUND,62.47409955557892,6.223783632422093
Fagerlivegen 11B,6008,ÅLESUND,62.47413360961625,6.223811325958428
Fagerlivegen 12,6008,ÅLESUND,62.47416956069336,6.2244759876405915
Fagerlivegen 13,6008,ÅLESUND,62.47431898830267,6.223860474926086
Fagerlivegen 14,6008,ÅLESUND,62.47440420362055,6.224531820868254
Fagerlivegen 15,6008,ÅLESUND,62.47449203002563,6.223980249925902
Fagerlivegen 17,6008,ÅLESUND,62.47464752629314,6.224121064079391
Fagerlivegen 21,6008,ÅLESUND,62.47512711758663,6.2252021699104825
Fagerlivegen 23,6008,ÅLESUND,62.47527557382455,6.225440687491142
Fagerlivegen 26,6008,ÅLESUND,62.47524412481595,6.226569275634711
Fagerlivegen 27A,6008,ÅLESUND,62.47573733014712,6.226077099177715
Fagerlivegen 27B,6008,ÅLESUND,62.47575872795967,6.226249788042588
Fagerlivegen 29A,6008,ÅLESUND,62.475810488390906,6.226594334280248
Fagerlivegen 29B,6008,ÅLESUND,62.47583969560593,6.226708073674576
Fagerlivegen 3,6008,ÅLESUND,62.47277527617806,6.2207630151225715
Fagerlivegen 30,6008,ÅLESUND,62.475581900057065,6.227294843182135
Fagerlivegen 31A,6008,ÅLESUND,62.47591950651915,6.227108243567469
Fagerlivegen 31B,6008,ÅLESUND,62.47593974787184,6.227222815952466
Fagerlivegen 32,6008,ÅLESUND,62.475676834420014,6.228004140993764
Fagerlivegen 33A,6008,ÅLESUND,62.47601840227114,6.227564870120799
Fagerlivegen 33B,6008,ÅLESUND,62.47604799370776,6.227697984113111
Fagerlivegen 34,6008,ÅLESUND,62.475899846787925,6.2283818910080475
Fagerlivegen 4A,6008,ÅLESUND,62.4724917668584,6.221410386868482
Fagerlivegen 4B,6008,ÅLESUND,62.47256966360748,6.221713645164231
Fagerlivegen 4C,6008,ÅLESUND,62.47266626208465,6.222053979151261
Fagerlivegen 5A,6008,ÅLESUND,62.47282381306846,6.221193012977123
Fagerlivegen 5B,6008,ÅLESUND,62.47289473328633,6.221799859491227
Fagerlivegen 6,6008,ÅLESUND,62.47282701479083,6.222621035896113
Fagerlivegen 7,6008,ÅLESUND,62.473117618880096,6.222167270301822
Fagerlivegen 8A,6008,ÅLESUND,62.473169294464434,6.222958142834932
Fagerlivegen 8B,6008,ÅLESUND,62.473256538930634,6.223279949883648
Fagerlivegen 8C,6008,ÅLESUND,62.47298140630276,6.22299501165343
Fagerlivegen 8D,6008,ÅLESUND,62.47320226364318,6.223711942363108
Fagerlivegen 9,6008,ÅLESUND,62.47399231130997,6.223625724196596
Hundsværgata 11A,6008,ÅLESUND,62.471188076975004,6.210994412807386
Hundsværgata 11B,6008,ÅLESUND,62.47125044698376,6.210969185996377
Hundsværgata 13A,6008,ÅLESUND,62.471026280899665,6.211716260524317
Hundsværgata 13B,6008,ÅLESUND,62.47105702395138,6.211627619728138
Hundsværgata 15A,6008,ÅLESUND,62.47111978130129,6.2116217637398154
Hundsværgata 15B,6008,ÅLESUND,62.47117318609606,6.211597374877463
Hundsværgata 17A,6008,ÅLESUND,62.47122697810803,6.211592355381407
Hundsværgata 17B,6008,ÅLESUND,62.471280770119364,6.211587335864836
Hundsværgata 19,6008,ÅLESUND,62.47129044982617,6.212071573312777
Hundsværgata 1A,6008,ÅLESUND,62.470934392834025,6.210435927499431
Hundsværgata 1B,6008,ÅLESUND,62.47098818479471,6.210430905965269
Hundsværgata 2,6008,ÅLESUND,62.47058495649106,6.20868326966952
Hundsværgata 21,6008,ÅLESUND,62.47111269163117,6.212165779619737
Hundsværgata 3A,6008,ÅLESUND,62.47104158937124,6.21040651509387
Hundsværgata 3B,6008,ÅLESUND,62.47109499394264,6.210382124133006
Hundsværgata 4,6008,ÅLESUND,62.470639472799405,6.2091633082037205
Hundsværgata 5A,6008,ÅLESUND,62.47114878589965,6.210377102467764
Hundsværgata 5B,6008,ÅLESUND,62.47120257785596,6.210372080782002
Hundsværgata 6A,6008,ÅLESUND,62.47069634418052,6.209590540204105
Hundsværgata 6B,6008,ÅLESUND,62.47070477035012,6.209796225431019
Hundsværgata 7A,6008,ÅLESUND,62.47096433099899,6.211034700962126
Hundsværgata 7B,6008,ÅLESUND,62.47101812298685,6.211029680498582
Hundsværgata 8,6008,ÅLESUND,62.47073781598065,6.211385731293648
Hundsværgata 9A,6008,ÅLESUND,62.47107191497405,6.21102466001452
Hundsværgata 9B,6008,ÅLESUND,62.47116129613576,6.211101508265784
Kolvikbakken 11A,6008,ÅLESUND,62.47253721313565,6.2167158354185865
Kolvikbakken 11B,6008,ÅLESUND,62.47261246286413,6.216737353601095
Kolvikbakken 11C,6008,ÅLESUND,62.47261898698389,6.2168122369710845
Kolvikbakken 11D,6008,ÅLESUND,62.47255888591919,6.216874695765084
Kolvikbakken 12,6008,ÅLESUND,62.47215315211429,6.216590343872106
Kolvikbakken 14,6008,ÅLESUND,62.472300000370524,6.21719766451737
Kolvikbakken 15,6008,ÅLESUND,62.47260946039294,6.217401721481341
Kolvikbakken 16,6008,ÅLESUND,62.472369713633505,6.21754048510982
Kolvikbakken 17,6008,ÅLESUND,62.47262847177733,6.217904518556091
Kolvikbakken 18,6008,ÅLESUND,62.47238370198184,6.2177914642139696
Kolvikbakken 19,6008,ÅLESUND,62.47266232179357,6.218250683150829
Kolvikbakken 1A,6008,ÅLESUND,62.47285801109573,6.21590367357348
Kolvikbakken 1B,6008,ÅLESUND,62.472690834816426,6.21562815265539
Kolvikbakken 1C,6008,ÅLESUND,62.4727096103204,6.215218866250498
Kolvikbakken 20,6008,ÅLESUND,62.47237118005949,6.218064317941959
Kolvikbakken 21,6008,ÅLESUND,62.472670819788085,6.218676834184439
Kolvikbakken 22,6008,ÅLESUND,62.4723777472283,6.2183936131857385
Kolvikbakken 23,6008,ÅLESUND,62.472600945013056,6.219226717748328
Kolvikbakken 24,6008,ÅLESUND,62.472301693922695,6.2186335676142255
Kolvikbakken 26,6008,ÅLESUND,62.4722949631914,6.219196974310539
Kolvikbakken 27,6008,ÅLESUND,62.47269244517943,6.219761583511363
Kolvikbakken 28,6008,ÅLESUND,62.472330740563606,6.219639988106378
Kolvikbakken 30,6008,ÅLESUND,62.47222414100152,6.220600808574586
Kolvikbakken 3A,6008,ÅLESUND,62.47301288565046,6.215112974537289
Kolvikbakken 3B,6008,ÅLESUND,62.47317967623834,6.215369124687984
Kolvikbakken 3C,6008,ÅLESUND,62.47308956405553,6.21580447135287
Kolvikbakken 5A,6008,ÅLESUND,62.4732253470192,6.214957324500328
Kolvikbakken 5B,6008,ÅLESUND,62.47345712518725,6.215107860774781
Kolvikbakken 7A,6008,ÅLESUND,62.473608008565115,6.215678533634456
Kolvikbakken 7B,6008,ÅLESUND,62.47340941993524,6.215660748092761
Kolvikbakken 8,6008,ÅLESUND,62.472309963865584,6.215896518169019
Kolvikbakken 9,6008,ÅLESUND,62.4725538880159,6.21641717016488
Krohnbakken 10,6008,ÅLESUND,62.47091755023363,6.194023432026876
Kråkeskaret 1,6008,ÅLESUND,62.47259257638624,6.21277917777101
Kråkeskaret 10,6008,ÅLESUND,62.47359370482208,6.21343357775881
Kråkeskaret 12,6008,ÅLESUND,62.4738141673608,6.213408082381883
Kråkeskaret 13,6008,ÅLESUND,62.47357593786407,6.212390855699063
Kråkeskaret 15,6008,ÅLESUND,62.47347122622179,6.212877261643465
Kråkeskaret 17,6008,ÅLESUND,62.47371251633945,6.212815939728852
Kråkeskaret 2,6008,ÅLESUND,62.47269156416824,6.213415742260157
Kråkeskaret 3,6008,ÅLESUND,62.4727298751458,6.212635907388035
Kråkeskaret 4,6008,ÅLESUND,62.47302682938778,6.213112781322666
Kråkeskaret 5,6008,ÅLESUND,62.47302108617021,6.2123758607392645
Kråkeskaret 6,6008,ÅLESUND,62.47326031535829,6.213110410920392
Kråkeskaret 8A,6008,ÅLESUND,62.473282822535275,6.213643554172715
